date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:29	5039/5039	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Feb%202024%2010:27:32%20GMT	https://sujon.softtopit.com/frontend/assets/vendor/css/owl.video.play.html	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/vendor/css/owl.video.play.html	(from https://sujon.softtopit.com/frontend/assets/vendor/css/owl.carousel.min.css)
16:27:58	129916/129916	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-brands-400.eot	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-brands-400.eot	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:02	59344/59344	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Jun%202021%2003:24:46%20GMT	https://sujon.softtopit.com/backend/assets/plugins/fontawesome-free/css/all.min.css	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/backend/assets/plugins/fontawesome-free/css/all.min.css	(from https://sujon.softtopit.com/login)
16:28:03	12505/12505	---M-Z	200	added ('OK')	text/css	date:Tue,%2008%20Jun%202021%2003:24:46%20GMT	https://sujon.softtopit.com/backend/assets/plugins/icheck-bootstrap/icheck-bootstrap.min.css	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/backend/assets/plugins/icheck-bootstrap/icheck-bootstrap.min.css	(from https://sujon.softtopit.com/login)
16:28:03	378/378	---M-Z	302	error ('Found')	text/html	date:Thu,%2015%20Feb%202024%2010:28:07%20GMT	https://sujon.softtopit.com/registration	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/registration	(from https://sujon.softtopit.com/login)
16:28:07	89501/89501	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2008%20Jun%202021%2003:24:46%20GMT	https://sujon.softtopit.com/backend/assets/plugins/jquery/jquery.min.js	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/backend/assets/plugins/jquery/jquery.min.js	(from https://sujon.softtopit.com/login)
16:28:11	84378/84378	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2008%20Jun%202021%2003:24:46%20GMT	https://sujon.softtopit.com/backend/assets/plugins/bootstrap/js/bootstrap.bundle.min.js	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/backend/assets/plugins/bootstrap/js/bootstrap.bundle.min.js	(from https://sujon.softtopit.com/login)
16:28:11	44244/44244	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2008%20Jun%202021%2003:24:46%20GMT	https://sujon.softtopit.com/backend/assets/dist/js/adminlte.min.js	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/backend/assets/dist/js/adminlte.min.js	(from https://sujon.softtopit.com/login)
16:28:12	129916/129916	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-brands-400d41d.eot?	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/webfonts/fa-brands-400d41dd41d.eot	(from https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css)
16:28:15	1382975/1382975	---MCZ	200	added ('OK')	text/css	date:Tue,%2008%20Jun%202021%2003:24:46%20GMT	https://sujon.softtopit.com/backend/assets/dist/css/adminlte.min.css	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/backend/assets/dist/css/adminlte.min.css	(from https://sujon.softtopit.com/login)
